crypto,date,open,high,low,close,volume
Bitcoin,2023-03-22,28201.22,28937.73,26591.0,27300.0,48149.414723071204
Bitcoin,2023-03-23,27324.05,28839.68,27094.0,28352.94,37552.33699735767
Bitcoin,2023-03-24,28352.95,28433.34,27000.0,27489.24,30698.223381133437
Bitcoin,2023-03-25,27489.24,27829.7,27163.9,27488.18,13293.244609140724
Bitcoin,2023-03-26,27489.56,28240.4,27438.0,27992.9,13936.936930806192
Bitcoin,2023-03-27,27995.27,28053.26,26491.9,27142.87,24937.53993555716
Bitcoin,2023-03-28,27142.85,27529.0,26600.0,27274.15,19481.2331157522
Bitcoin,2023-03-29,27274.18,28654.06,27253.0,28359.54,25753.42812722712
Bitcoin,2023-03-30,28359.54,29190.04,27677.0,28035.48,29743.217287079442
Bitcoin,2023-03-31,28034.88,28651.0,27504.0,28474.4,24987.374674273757
Bitcoin,2023-04-01,28468.2,28826.45,28201.0,28471.46,10235.05993186201
Bitcoin,2023-04-02,28471.03,28544.21,27839.0,28188.34,9693.856631771449
Bitcoin,2023-04-03,28188.34,28525.0,27212.7,27800.7,24030.99884093056
Bitcoin,2023-04-04,27809.55,28450.0,27668.8,28179.64,17115.182552042217
Bitcoin,2023-04-05,28178.66,28801.0,27813.1,28175.37,21008.497384932703
Bitcoin,2023-04-06,28152.0,28199.11,27700.0,28053.46,13692.477772902093
Bitcoin,2023-04-07,28052.74,28120.71,27755.0,27931.94,7506.164169892444
Bitcoin,2023-04-08,27923.0,28175.89,27833.0,27958.81,5070.492533032284
Bitcoin,2023-04-09,27958.19,28548.7,27767.0,28340.99,8505.31081317124
Bitcoin,2023-04-10,28342.28,29800.0,28136.0,29660.41,23345.606096754822
Bitcoin,2023-04-11,29654.9,30586.0,29579.0,30227.19,27027.70551938131
Bitcoin,2023-04-12,30227.18,30517.0,29645.8,29912.2,21231.049841125543
Bitcoin,2023-04-13,29912.2,30650.8,29867.0,30406.78,17930.83316802443
Bitcoin,2023-04-14,30385.0,31050.0,30000.0,30492.92,27510.62918843973
Bitcoin,2023-04-15,30492.91,30624.1,30192.0,30324.11,7861.33127586215
Bitcoin,2023-04-16,30325.07,30623.0,30103.0,30326.09,9504.127951621076
Bitcoin,2023-04-17,30316.1,30340.21,29251.71,29449.91,19229.837173161322
Bitcoin,2023-04-18,29449.91,30527.0,29103.89,30393.4,19512.265248204738
Bitcoin,2023-04-19,30392.0,30430.72,28577.0,28809.72,30560.676130949807
Bitcoin,2023-04-20,28809.0,29102.69,27991.32,28248.18,23388.003797934798
Bitcoin,2023-04-21,28248.18,28381.0,27133.0,27264.3,25875.07214013698
Bitcoin,2023-04-22,27252.96,27892.2,27133.0,27821.41,10130.336864032974
Bitcoin,2023-04-23,27820.99,27827.0,27333.0,27592.98,8516.152190272107
Bitcoin,2023-04-24,27592.7,28007.0,26965.14,27515.05,17394.267567962903
Bitcoin,2023-04-25,27513.85,28400.0,27189.0,28304.42,16874.08749568411
Bitcoin,2023-04-26,28300.9,30050.66,27230.77,28426.08,44366.465584736085
Bitcoin,2023-04-27,28428.86,29900.0,28387.07,29483.72,32346.01312340123
Bitcoin,2023-04-28,29486.97,29606.45,28900.0,29338.63,19328.84059792601
Bitcoin,2023-04-29,29339.47,29470.0,29015.0,29249.35,6842.28078868178
Bitcoin,2023-04-30,29249.24,29975.0,29095.92,29254.0,12423.352569882965
Bitcoin,2023-05-01,29245.3,29348.6,27643.2,28077.27,24613.280175878255
Bitcoin,2023-05-02,28101.0,28937.5,27871.44,28684.4,18112.51231825818
Bitcoin,2023-05-03,28683.41,29282.0,28122.0,29038.75,20602.56611421819
Bitcoin,2023-05-04,29039.36,29412.0,28674.58,28857.23,14289.688415855795
Bitcoin,2023-05-05,28857.88,29706.57,28810.0,29536.76,20151.67155080517
Bitcoin,2023-05-06,29538.87,29868.1,28338.0,28902.66,12658.17752151606
Bitcoin,2023-05-07,28901.3,29191.8,28429.12,28468.0,8361.272513322565
Bitcoin,2023-05-08,28472.68,28686.0,27279.66,27695.06,21675.075861507114
Bitcoin,2023-05-09,27693.24,27846.0,27367.01,27635.0,12994.033853744004
Bitcoin,2023-05-10,27647.29,28340.0,26792.9,27624.01,25592.13642968163
Bitcoin,2023-05-11,27621.5,27654.0,26702.0,26986.56,18370.162118886474
Bitcoin,2023-05-12,26986.79,27125.0,25810.0,26808.84,25956.990815368998
Bitcoin,2023-05-13,26800.0,27105.5,26700.0,26786.3,6680.031552121824
Bitcoin,2023-05-14,26788.4,27221.51,26581.52,26929.98,5897.3205293311585
Bitcoin,2023-05-15,26929.98,27678.73,26727.8,27171.13,17056.646549623132
Bitcoin,2023-05-16,27166.2,27313.0,26850.1,27037.68,14548.132909303422
Bitcoin,2023-05-17,27037.72,27532.0,26543.87,27407.77,19046.11721729398
Bitcoin,2023-05-18,27402.3,27506.0,26345.0,26817.9,17927.481109554028
Bitcoin,2023-05-19,26819.0,27219.0,26632.73,26890.27,10047.3639274936
Bitcoin,2023-05-20,26890.27,27178.99,26834.2,27113.61,4337.269055380455
Bitcoin,2023-05-21,27111.1,27297.0,26667.4,26752.65,7869.178017491415
Bitcoin,2023-05-22,26749.5,27130.0,26512.4,26854.73,11107.292726275178
Bitcoin,2023-05-23,26854.09,27543.0,26803.46,27221.5,14824.598577487695
Bitcoin,2023-05-24,27222.86,27239.0,26067.0,26321.4,21877.212701425156
Bitcoin,2023-05-25,26321.42,26644.0,25864.35,26479.06,15340.26441163546
Bitcoin,2023-05-26,26479.15,26950.0,26334.33,26736.0,13750.19948724065
Bitcoin,2023-05-27,26711.56,26943.6,26554.8,26873.7,5205.7141697810175
Bitcoin,2023-05-28,26873.7,28277.56,26780.11,28070.04,14971.238493283887
Bitcoin,2023-05-29,28070.04,28475.0,27534.81,27744.82,15110.209850128836
Bitcoin,2023-05-30,27744.81,28069.0,27555.0,27699.2,15964.481932342085
Bitcoin,2023-05-31,27700.68,27856.0,26841.3,27223.08,20024.682809454822
Bitcoin,2023-06-01,27215.1,27360.31,26571.5,26828.42,15624.627721330367
Bitcoin,2023-06-02,26832.0,27312.2,26500.1,27250.69,15817.393506223014
Bitcoin,2023-06-03,27252.67,27344.6,26923.35,27077.6,5092.018436740317
Bitcoin,2023-06-04,27078.27,27489.0,26958.98,27126.0,5480.958993490616
Bitcoin,2023-06-05,27122.03,27137.75,25391.0,25741.5,25268.38098465086
Bitcoin,2023-06-06,25742.0,27368.67,25331.0,27243.63,26219.780620328514
Bitcoin,2023-06-07,27243.45,27402.79,26121.06,26346.41,22394.40500206427
Bitcoin,2023-06-08,26347.09,26845.0,26212.63,26506.7,11347.771070794155
Bitcoin,2023-06-09,26505.71,26804.0,26275.4,26482.81,13009.200842117873
Bitcoin,2023-06-10,26482.8,26556.0,25385.52,25856.1,23209.88243884472
Bitcoin,2023-06-11,25856.1,26233.0,25648.0,25937.02,10671.399004254463
Bitcoin,2023-06-12,25936.98,26125.0,25616.98,25905.82,12999.085856006695
Bitcoin,2023-06-13,25927.0,26455.0,25710.78,25930.23,17855.17477048523
Bitcoin,2023-06-14,25929.35,26113.0,24818.0,25123.34,19928.7054278075
Bitcoin,2023-06-15,25124.0,25766.0,24750.0,25569.99,24162.28738188538
Bitcoin,2023-06-16,25569.99,26570.0,25140.0,26329.6,21407.07719975411
Bitcoin,2023-06-17,26329.6,26857.0,26165.98,26506.56,9792.274539664142
Bitcoin,2023-06-18,26507.97,26729.0,26245.27,26336.46,7100.6741179220035
Bitcoin,2023-06-19,26336.46,27075.0,26250.0,26837.78,14144.69529970422
Bitcoin,2023-06-20,26858.0,28417.11,26637.41,28320.43,38390.596724384275
Bitcoin,2023-06-21,28320.41,30801.0,28271.67,29995.08,44384.067834447866
Bitcoin,2023-06-22,29999.85,30527.0,29539.57,29886.31,26202.76174347193
Bitcoin,2023-06-23,29886.25,31443.67,29802.65,30707.61,31244.359926668683
Bitcoin,2023-06-24,30687.7,30820.0,30254.6,30547.18,9623.04634108292
Bitcoin,2023-06-25,30547.3,31070.0,30250.0,30480.24,8909.245022132367
Bitcoin,2023-06-26,30480.24,30685.0,29900.0,30264.2,16345.89278619019
Bitcoin,2023-06-27,30272.24,31020.54,30223.6,30697.38,16409.937258682614
Bitcoin,2023-06-28,30696.06,30731.0,29834.2,30074.94,13861.890732947553
Bitcoin,2023-06-29,30074.93,30849.0,30036.18,30450.6,16071.586503792712
Bitcoin,2023-06-30,30445.67,31300.0,29375.6,30466.72,35670.901109556755
Bitcoin,2023-07-01,30475.0,30689.0,30312.8,30587.21,5668.988561250497
Bitcoin,2023-07-02,30591.7,30830.0,30165.39,30613.51,6257.883407050745
Bitcoin,2023-07-03,30622.7,31416.0,30569.0,31161.8,15271.621762194267
Bitcoin,2023-07-04,31145.0,31347.0,30622.6,30771.25,10579.804887839318
Bitcoin,2023-07-05,30781.9,30898.0,30160.4,30499.27,12416.592969233187
Bitcoin,2023-07-06,30499.27,31631.0,29850.0,29899.38,24227.16805427962
Bitcoin,2023-07-07,29929.0,30469.0,29699.0,30352.08,14694.198581175911
