crypto,date,open,high,low,close,volume
Axie Infinity,2023-01-10,7.33,7.75,7.12,7.49,132605.1394020595
Axie Infinity,2023-01-11,7.48,7.54,7.11,7.49,56890.64603418009
Axie Infinity,2023-01-12,7.53,8.13,7.4647,7.97,190481.6235092301
Axie Infinity,2023-01-13,7.98,9.35,7.8,9.09,237682.09219612967
Axie Infinity,2023-01-14,9.08,10.237,8.62,9.3995,467158.9100196634
Axie Infinity,2023-01-15,9.4,9.49,8.71,9.28,208344.16468814883
Axie Infinity,2023-01-16,9.27,9.6676,8.53,9.0121,164870.09228444935
Axie Infinity,2023-01-17,9.041,9.2092,8.64,8.853,114108.02099804951
Axie Infinity,2023-01-18,8.8739,9.0332,7.637,8.04,140090.3324226093
Axie Infinity,2023-01-19,8.04,8.5477,8.03,8.32,51309.980458339975
Axie Infinity,2023-01-20,8.29,9.1489,8.18,9.11,82683.70525690014
Axie Infinity,2023-01-21,9.1,9.7224,8.87,8.96,178517.9898280598
Axie Infinity,2023-01-22,8.96,12.62,8.96,12.57,576097.602413803
Axie Infinity,2023-01-23,12.55,13.964,12.01,12.21,660788.9445615895
Axie Infinity,2023-01-24,12.22,12.48,10.86,11.1,463452.800779273
Axie Infinity,2023-01-25,11.09,12.359,10.79,11.73,839475.1299165635
Axie Infinity,2023-01-26,11.72,12.462,11.352,11.873,383052.30909765343
Axie Infinity,2023-01-27,11.87,11.98,11.04,11.52,246428.2508266201
Axie Infinity,2023-01-28,11.53,12.983,11.22,11.531,181306.7370853001
Axie Infinity,2023-01-29,11.43,12.398,11.25,12.21,242480.66448203017
Axie Infinity,2023-01-30,12.22,12.426,10.41,10.86,340548.2978749802
Axie Infinity,2023-01-31,10.922,11.067,10.47,10.91,411963.1896055122
Axie Infinity,2023-02-01,10.9,11.475,10.22,11.423,182806.36156691992
Axie Infinity,2023-02-02,11.44,12.02,11.04,11.16,231746.62558862183
Axie Infinity,2023-02-03,11.2,11.63,11.03,11.46,101258.96839208026
Axie Infinity,2023-02-04,11.475,11.78,11.188,11.39,94787.38615423028
Axie Infinity,2023-02-05,11.41,11.878,10.61,10.92,157055.54146040016
